start_date,end_date,price_eur_per_mwh,load_mw
2025-07-16T00:00:00+02:00,2025-07-16T01:00:00+02:00,74.97,12152.8
2025-07-16T01:00:00+02:00,2025-07-16T02:00:00+02:00,56.53,12777.9
2025-07-16T02:00:00+02:00,2025-07-16T03:00:00+02:00,55.26,13047.5
2025-07-16T03:00:00+02:00,2025-07-16T04:00:00+02:00,48.19,13401.5
2025-07-16T04:00:00+02:00,2025-07-16T05:00:00+02:00,44.71,13643.5
2025-07-16T05:00:00+02:00,2025-07-16T06:00:00+02:00,46.97,13590.2
2025-07-16T06:00:00+02:00,2025-07-16T07:00:00+02:00,52.33,13048.5
2025-07-16T07:00:00+02:00,2025-07-16T08:00:00+02:00,62.55,13401.2
2025-07-16T08:00:00+02:00,2025-07-16T09:00:00+02:00,75.2,14349.3
2025-07-16T09:00:00+02:00,2025-07-16T10:00:00+02:00,66.99,15859.0
2025-07-16T10:00:00+02:00,2025-07-16T11:00:00+02:00,42.63,18710.5
2025-07-16T11:00:00+02:00,2025-07-16T12:00:00+02:00,28.81,20875.7
2025-07-16T12:00:00+02:00,2025-07-16T13:00:00+02:00,53.6,22270.9
2025-07-16T13:00:00+02:00,2025-07-16T14:00:00+02:00,36.26,23121.1
2025-07-16T14:00:00+02:00,2025-07-16T15:00:00+02:00,33.25,22962.6
2025-07-16T15:00:00+02:00,2025-07-16T16:00:00+02:00,29.01,22133.4
2025-07-16T16:00:00+02:00,2025-07-16T17:00:00+02:00,39.76,20307.3
2025-07-16T17:00:00+02:00,2025-07-16T18:00:00+02:00,57.57,18168.7
2025-07-16T18:00:00+02:00,2025-07-16T19:00:00+02:00,79.1,15134.4
2025-07-16T19:00:00+02:00,2025-07-16T20:00:00+02:00,109.62,13419.1
2025-07-16T20:00:00+02:00,2025-07-16T21:00:00+02:00,122.84,12568.8
2025-07-16T21:00:00+02:00,2025-07-16T22:00:00+02:00,108.4,13205.5
2025-07-16T22:00:00+02:00,2025-07-16T23:00:00+02:00,117.4,12898.3
2025-07-16T23:00:00+02:00,2025-07-17T00:00:00+02:00,111.14,12301.9
